Sr No~Title~Author~biblionumber
1~`l' is for lawless~Grafton, Sue~1648
52~101 commonsense rules for making things happen~Brinkerhoff, John R.~2181
53~101 commonsense rules for the office~Brinkerhoff, John R.~9938
54~101 great indian~Kanitkar, R. P.~15632
55~101 home office success secrets~Kanarek, Lisa~14351
56~101 shreshtha kriketpatoo १०१ श र ष ठ क रिक टपट~Pandit, Bal~267
57~101 survival tips for your business~Griffiths, Andrew~9882
58~101 ways to better business writing~Foster, Timothy R.V.~10507
59~101 ways to clean up your act~Booher, Dianna~6704
60~101 ways to improve customer service~Ukens, Lorraine L.~5991
61~101 ways to improve customer service  : training, tools, tips, and techniques ( 1 CD-ROM )~Ukens, Lorraine L.~22616
62~101 ways to increase your sales~Forsyth, Patrick~4892
63~101 ways to professional impact~Sampson, Eleri~20812
64~110% solution~Mccormac, Mark~16899
65~12 stages of healing~Epstein, Donald M. [Et.al]~7540
66~12 steps to mastering the winds of change-peak performers reveal~Olesen, E.~15604
67~12 sutras of leadership~Das, Keshavanand~5014
68~13 fatal errors managers make and how you can avoid them~Brown, W. Steven~8720
69~134 tips for the go-ahead manager~Parkinson, C.N. [Et.al]~20269
70~13th annual reports and accounts 1982~I.S.T.D.~10208
71~13th national convention - making training and development more~Indian Society For Training & Development.~16800
72~15431fast cycle time~Meyer, C.~18534
73~16 bit microprocessors~Aumiaux, Michael~160
74~17 essential qualities of a team player~Maxwell, John~9570
75~175 Stories of Akbar and Birbal~Mudholkar,Ramesh~25171
76~18 brand astras~Kapoor, Jagdeep~18982
77~18 business tools (September 2001)~PC Quest~22765
78~18 immutable laws of corporate reputation ~Alsop, Ronald~20715
79~1857 che svatantryasamar १८५७ च स वातंत र यसमर~Savarkara, Vi. Da.~3935
80~1971 Yuddha dhairyakatha veerpatninchya :  १९७१ युद्ध धैर्यकथा वीरपत्नींच्या~Joshi, Geetanjali Avinash~5830
81~1972 annual handbook for group facilitators~Pfeiffer, J.W. [Et.al]~2979
82~1973 annual handbook for group facilitators~Jones, J.E. [Et.al]~15033
83~1974 annual handbook for group facilitators~Pfeiffer, J.W. [Et.al]~10216
84~1976 annual handbook for group facilitators~Pfeiffer, J.W. [Et.al]~20108
85~1977 annual handbook for group facilitators~Pfeiffer, J.W. Eds. [Et.al]~20497
86~1978 annual handbook for group facilitators~Pfeiffer, J.W. [Et.al]~20326
87~1979 annual handbook for group facilitators~Jones, J.E. [Et.al]~21745
88~1983 annual~Pfeiffer, J.W. Ed.~2471
89~1984 annual~Pfeiffer, J.W. Ed.~5053
90~1984 insurance buyer's guide to schemes, packages & unusual risks~Anderson, Roger~59
91~1984 member roster~Lirma~13153
92~1985 annual~Pfeiffer, J.W. Ed.~12500
93~1985 survey of actuarial assumptions and funding~Wyatt Company~20550
94~1986 annual~Pfeiffer, J.W. Ed.~19794
95~1987 annual~Pfeiffer, J.W. Ed.~11943
96~1988 annual~Pfeiffer, J.W. Ed.~10949
97~1989 annual - developing human resources~Pfeiffer, J.W. Ed.~18782
98~1990 annual~Pfeiffer, J.W. Ed.~10826
99~1990 conference papers~Insurance Institute of New Zealand~19404
100~1991 annual~Feiffer, J. William Ed.~21483
101~1991 life insurance fact book update~~17971
102~1992 annual~Pfeiffer, J. William Ed.~13878
103~1993 annual~Pfeiffer, J. William~1218
104~1994 annual~Pfeiffer, J.W. Ed~3460
105~1994 britannica book of the year~Encyclopedia Britanica~14243
106~1994 britannica book of the year~~14244
107~1994 life insurance tables~Munich Re~2953
108~1994 life insurance tables~~2954
109~1994 life insurnce fact book~Amercian Councial of Life Insurance~7653
110~1995 annual ~Pfeiffer, J.W. Ed~13936
111~1995 annual~Pfeiffer, J.W.Ed.~13937
112~1995 life insurance fact book update~Acli~19982
113~1996 annual~Pfeiffer, J.W. Ed.~21246
114~1996 annual~Pfeiffer, J.W. Ed.~21247
115~1996 insurance buyer's guide to schemes, packages and unusual ~Bryan, Ruth Ed.~116
116~1996 life insurance fact book~Acli~923
117~1996 mcgraw hill training and performance sourcebook~Silberman, M. Ed.~9413
118~1997 annual~Pfeiffer, J.W. Ed.~13244
119~1997 annual~Pfeiffer, J.W. Ed.~13245
120~1998 annual~Pfeiffer, J.W. Ed.~9506
121~1998 annual~Pfeiffer, J.W. Ed.~9507
122~1998 annual review of development effectiveness~Buckley, R.~20924
123~1998 britannica book of the year~Encyclopedia Britannica~2806
124~1999 annual~Pfeiffer, J.W. [Et. Al.]~21420
125~1999 annual~Pfeiffer, J.W. [Et. Al.]~21421
126~1st Asian Life insurance summit: 24-25 August 2006 at Taj President, Mumbai and 7th Asian conference on Bancassurance an~Asia Insurance Review~23658
127~2 states~Bhagat, Chetan.~3290
128~20 softwares you have been asking for [March 2003] CD-3~PC Quest~23851
129~20 ways to manage better~Leigh, Andrew~7339
130~20 year strategic outlook for the us life and health insurance~Nielson, Norma L. and Others~21402
131~20% solution~Colter, J.J.~17998
132~2000 annual~Biech, E.~14548
133~2000 annual~Biech, E.~14549
134~2000 tips for trainers and staff developers~Race, Phil~7014
135~2000-2005 world outlook for insurance~Icon Group Ltd.~2759
136~20000 leagues under the sea~Verne, Jules~1527
137~2001 annual~Biech, Elaine~3769
138~2001 annual~Biech, Elaine~3770
139~2001 management~Davis. M. Standly~10268
140~2002 annual~Biech, Elaine~5941
141~2002 annual~Biech, Elaine~5942
142~2003 annual~Biech, Elaine~18426
143~2003 annual~Biech, Elaine~18427
144~2004 pfeiffer annual~Biech, Elaine~21644
145~2004 pfeiffer annual~Biech, Elaine~21645
146~2007 corporate responsibility report~Swiss Re~20416
147~2008 pfeiffer annual~Biech, Elaine~15861
148~2008 pfeiffer annual~Preziosi, Robert C.~15862
149~2008 pfeiffer annual~Noel, James L.~15863
150~2008 Pfeiffer annual: leadership development (with CD ROM)~Noel, James L.~24920
151~2008 Pfeiffer annual: mangement development (with CD ROM)~Preziosi, Robert C.~23560
152~2009 pfeiffer annual~Biech, Elaine~3777
153~2009 Pfeiffer annual: training (with CD ROM)~Biech, Elaine~24159
154~2013 pfeiffer annual~Biech, Elaine~4977
155~2013 pfeiffer annual~Biech, Elaine~4978
156~20th annual report of the direcor general of insurance~Malaysia, Ministry of Finance~3029
157~20th Century Warfare~Gibson,Michael~25412
158~21 irrefutable laws of leadership~Maxwell, J.C.~3176
159~21 lessons for the 21st century~Harari, Yuval N.~2151
160~21 success secrets of self made millionaries~Tracy Brian~9904
161~२१ व या शतकाकड ड नीलकंठ कल याणी यांच विचारधन (भाषण , ल ख, मुलाखती यांचा संग रह) 21vya shatakakade dr nilakantha kalyani yanche vichradhana (bhashane, lekh, mulakhati yancha sangraha) sankalanshri savita bhave~Kalyani, Nilakantha.~17237
162~21st annual report april 1 1982 to march 31st 1983~IIM~6217
163~21st century business technology for london insurance markets~IBC Uk Conf.Ltd.~16880
164~21st century corporate board~Ward, Ralph D.~1862
165~21st century manager~Kamp, Di~9856
166~21st century office assistant's manual~Lichtenstein E. Ed.~14390
167~21st century positioning~Kinder, Jack. Jr. [Et.al]~15724
168~21st Century Sports~Langley,Andrew~22747
169~22 immutable laws of branding~Ries, Al~25254
170~22 immutable laws of branding~,, ,,~25255
171~22 immutable laws of marketing~Ries, Al. [Et.al]~18116
172~22 immutable laws of marketing~Ries, Al.~23282
173~22 immutable laws of marketing~Ries Al~23283
174~22 immutable laws of marketing in asia~Ries, Al~11335
175~22 Short Stories~Nair,Bhavana & Guha Tapas~24145
176~2239 tested secrets for direct marketing success~Hatch, D. [Et.al]~15839
177~22nd global conference of actuaries~Federation of Indian Chambers of Commerce and Actuarial Society~11548
178~23business leadership (essential business psychology series)~Shackleton, Viv~5271
179~24 brand mantras~Kapoor, Jagdeep~21588
180~24 brand mantras~Kapoor, Jagdeep~21589
181~24- hour turn-around~Hartness, Jim~6688
182~25 Essentials to happy living~Pathak, Preeti~10488
183~25 legendary leadership activities~Garber, Peter R.~1802
184~25 most common sales mistakes and how to avoid them~Schiffman, Stephan~8543
185~25 most dangerous sales myths and how to avoid them~Schiffman, Stephan~11083
186~25 sales habits of highly successful salespeople~Schiffman, Stephan~21004
187~25 sales skills~Schiffman, Stephan~16010
188~25 sales strategies~Schiffman, Stephan~14544
189~25 ways to improve your life~Ravi Shankar H.H.(Sri Sri)~2162
190~25 ways to improve your life, 2nd ed. (with Audio CD-  Death and beyond: a discourse by Sri. Ravi Shankar)~Ravi Shankar H.H.(Sri Sri)~22873
191~25 years glorious journey of growth 1984-2008 ~Interlink Insurance & Reinsurance Brokers ~4979
192~250 more iq more mind-bending puzzles~Cameron, Joe~17672
193~250 sales questions to close the deal~Schiffman, Stephan~19710
194~26 ways to winning~Reddy, M.S.~21205
195~2nd global conference of actuaries, feb 24-25 2000~Actuarial Society of India~6564
196~2nd global conference of actuaries, february 24-25 2000~Actuarial Society of India~10696
197~2nd helping of chicken soup for the soul - 101 more stories~Canfield, J. [Et.al]~11955
198~3 D Discovery reef magic: discover the amazing world of a coral reef in stunning 3D~Scholastic India Pvt. Ltd.~23634
199~3 Idiots~Hirani, Rajkumar~24250
200~3 mistakes of my life~Bhagat, Chetan~2850
201~3-d competitive space~Prabhat, G.B.~5401
202~3, 5000 good jokes for speaker's~Lieberman, G.F.~19850
203~30 practical exercises~Fenman Publication~17738
204~30 practical exercises: successful leadership~Fenman Publication~25734
205~30 women in power~Kidwai, Naina Lal~9609
206~300 years of lloyd's~Brown, Antony~18466
207~3000 solved problems in precalculus~Schmidt, Philip~20851
208~3001 the final odyssey ३००१ द फायनल ओडिसी~Clark, Arthur C.~3219
209~301 ways to have fun at work~Hemsath Dave~20248
210~31 languages of the world: CD-1 and CD- 2~Viva Infomedia~23411
211~31 National Management Convention Charting New Directions~Puri, Bharat~25401
212~313 ways to slash your business overheads~Long, Gary~11321
213~32 haart beats ek hridayasparshi anubhav ३२ हार ट बीट स एक 'ह दयस पर शी' अनुभव~Velankar, Prakash~1366
214~32nd annual report 1979~Oriental Fire and General Insurance Company Limited~15618
215~35 checklists for human resource management~Mackay, Ian~19501
216~35 years of industriral finance corporation of India~IFCI~7977
217~36 issues of digit now archived with search functionality [June 2004]~Digit~24473
218~360 degree feedback~Ward, Peter~18385
219~360 degree feedback and assessment and development centres~Rao, T.V.~3119
220~360 degree feedback and performance management system~Rao, T.V.~2864
221~360 degree feedback and performance management system~Rao, T.V.~2865
222~360 degree feedback competency mapping and assessment centres~Sharma, Radha R.~2846
223~360 feedback~Edwards, Mark R. [Et.al]~10189
224~365 Days of positive living: live a joyful and vibrant life~Peale, Norman Vincent ~34108
225~386/486 pc power user's guide~Fairhead, Harry~7811
226~4 a~Sheth, Jagdish N.~9468
227~4-hour work week: escape the 9-5, live anywhere and join the new rich ~Ferriss, Timothy~34130
228~44 most common management mistakes and how to avoid them~Courtis, John~16198
229~48 laws of power~Greene, R. and Effers, J.~13968
230~48 laws of power~Greene, Robert~13969
231~4th convocation of NIASOM 2009~NIA~23833
232~4th global conference of actuaries~Actuarial Society of India~4338
233~4th global conference of actuaries~Actuarial Society of India~4339
234~4th global conference of actuaries~Actuarial Society of India~4340
235~4th global conference of actuaries (14-15 february, 2002-new delhi)~Actuarial Society of India~17812
236~5 Minutes to opinion building techniques  (Disc 1)~V3~23912
237~5 must have(June 2001)~PC Quest~24307
238~5 Small linux systems [October 2003]~Linux For You~24206
239~5-minute nlp~Gem, Collins~11049
240~50 activities for self-development~Francis Dave~4840
241~50 brain-teasers for meetings, presentations and training sessions~Roberts-Phelps, G. [Et.al]~14741
242~50 business classics~Butler-Bowdon, Tom~5613
243~50 companies that changed the world~Rothman, Howard~20562
244~50 essential management techniques~Ward, Michael~20079
245~50 self-help classics~Butler-Bowdon, Tom~6401
246~50 spiritual classics~Butler-Bowdon, Tom~1135
247~50 strange mysteries of the sea~Canning, J.~12561
248~50 strategies for experimental learning~Thayer Louis.~5468
249~50 strategies for experimental learning book one~Thayer Louis~2994
250~50 success classics~Butler-Bowdon, Tom~17891
251~50 years of central banking~RBI~20052
252~500 letters for difficult situations~Sandler, Corey~419
253~500 tips for trainers~Race, Phil [Et.al]~13996
254~500 tips for tutors~Race, Phil~22270
255~500 tips on assessment~Brown, Sally~2565
256~500 tips on group learning~Race, Phil~16382
257~51 income tax tips for investors~Lakhotia, Ram Niwas~6881
258~52 lessons for life~Hill, Nepoleon~15830
259~5600 jokes for all ocasions~Meiers, M. [Et.al]~13323
260~5s improvement handbook~Productivity Europe Ltd.~3063
261~5th global conference of actuaries~Actuarial Society of India~10398
262~6 free CAD software [June 2002]~PC Quest~25717
263~6 steps to free publicity and dozens of other ways to win free~Yudkin, M.~1585
264~6 XML tools [September 2002]~PC Quest~24249
265~60 ways to make stress work for you~Slaby, A. E.~15134
266~6404~~9655
267~6th annual report of industrial reconstruction bank of India~Industrial Reconstruction Bank~18535
268~6th national conference on pension, retirement planning and employee benefits~Assocham India~12278
269~7 bad habits of highly ineffective people~Macdonald, Richard~20002
270~7 CDs in one DVD [August 2003]~PC Quest~23773
271~7 habits of highly effective families~Covey, S.R.~17119
272~7 habits of highly effective families~Covey, Stephen R.~17120
273~7 habits of highly effective people~Covey, S.~19756
274~7 habits of highly effective people~Covey, Stephen~19757
275~7 habits of highly effective teens~Covey, Sean~20423
276~7 habits on the go~Covey, Stephen R.~34047
277~7 large software [May 2003]~PC Quest~24813
278~7 laws of highest prosperity~Kemp, Cecil O.~22201
279~7 second marketing~Misner, Ivan R.~11617
280~72 mail/72 मैल~Vhatkar, Ashok.~10723
281~8 practices of exceptional companies~Fitz-Enz, Jac.~8662
282~80 things you must do to be a great boss - how to focus ~Freemantle, David~3815
283~80/20 principle~Koch, Richard~13280
284~8000 more things you should know~Gallagher, Belinda~34024
285~8085-a assembly language ~Awate, S.P.~5068
286~8175agnipankh अग निपंख~Kalam, Abdul A.P.J.~4918
287~8th habit from effectiveness to greatness ~Covey, Stephen~8102
288~8th habit from effectiveness to greatness (DVD)~Covey,Stephen~25069
289~9 Accounting packages [February 2002]~PC Quest~24399
290~9 brand shastras~Kapoor, Jagdeep~8711
291~9 most powerful ways to improve your people skills~Fotis, George W.~16370
292~9 natural laws of leadership~Blank, Warren~4960
293~9 things successful people do differently~Halvorson, Heidi Grant~13163
294~99% inspiration~Mattimore, Bryan W.~12780
295~9th twic conference papers sep 26-29, 1994~~22315
296~A 5th portion of chicken soup for the soul~Canfield, Jack and Hansen, M.V.~20509
297~A beautiful mind~Nasar, Sylvia~17837
298~A biographical dictionary of women economists~Ed. Dimand Robert W.~15445
299~A bittle bit better management ideas from my years with escorts~Batra, Promod.~2940
300~A brief report of the proceedings of the special marine hull insurance~College of Insurance~18945
301~A business of her own~Rajivan, Anuradha K.~10116
302~A century of calculus - part 1 1894-1968~Apostol, Tom~7666
303~A century of calculus - part 2 1969-1991~Apostol, Tom~12654
304~A close look at loss reserving in general insurance companies in~Rao, P.R.~10517
305~A close look at loss reserving in general insurance corporation~Rao, P.R.~4640
306~A coach~Kouzes, James M.~3403
307~A comparative study of accounting and reporting standards for insurance industry-an international approach~Soman, S.S.~19661
308~A compendium of aquaculture technologies for developing countries~V.R.P.Sinha~13722
309~A complaint is a gift~Barlow, J [Et.al]~4506
310~A complete guide to creative visualisation~Denning~16771
311~A complete guide to successful entrepreneurship~Pandey, G.N.~20290
312~A concrete appraoch to mathematical modelling~Mesterton-Gibbons, M.~13291
313~A course of mathematical analysis~Shanti Narayan~4562
314~A criminal history of mankind~Wilson, C.~8916
315~A cry in the night~Clark, M. H.~20306
316~A date with your future a workbook on financial planning~~20708
317~A dictionary of communication and media studies~Watson, James~3797
318~A dictionary of dates~Beeching, C.L.~21385
319~A dictionary of twentieth century world biography~~4902
320~A double life ~Padamsee, A. [Et. Al.]~2508
321~A first course in probability~Chandra, T.K.~13624
322~A Friend For Raju~Cheryl Rao~23157
323~A general introduction to institutional investment~Frost, A.J.~10993
324~A guide on export policy procedure and documentation~Mahajan, M.I.~20088
325~A guide to effective insurance ~Tierney, F. [Et.al]~6402
326~A guide to information technology (cyber laws and e-commerce)~Syed, Shakil Ahmed~2343
327~A guide to insurance accounting~Mccrindell, A.~8186
328~A guide to international capital markets 1991~Crossman, R. [Et.al]~1562
329~A guide to sources of consumer information~Consumer Education and Reserach Center~11065
330~A guide to the insurance of professional negligence risks~Jess, Digby Charles~11500
331~A guide to transactional analysis~Clements, Ron.~16125
332~A guie to programming in basic plug~Presley, Bauce~4315
333~A Hand Book of Sports and Games~~25312
334~A handbol of mangement techniques~Armstrong M~7223
335~A handbook for structured experiences forhumanrelations training~Pfeiffer I. William [Et.al]~6487
336~A handbook of financial mathematics~Cartledge, Peter C.~7163
337~A handbook of financial mathematics~Cartledge, Peter C.~7164
338~A handbook of financial mathematics~Cartledge, Peter C.~7165
339~A handbook on polution control by industries & government bodies with supreme court decision~Goswamy, Dilip~22305
340~A handbook to marine insurance~Dover, Victor.~12706
341~A historical atlas of south asia~Schwartzberg, J.E.~9359
342~A history of economics~Galbraith, John K~7446
343~A Hole in her Pocket and Other Stories~Blyton,Enid~24437
344~A house for mr biswas~Naipaul, V.S.~14822
345~A introduction to actuarial studies~Atkinson, M.E. [Et.al]~9466
346~A life in our times memories~Galbraith, John Kenneth~1513
347~A man in full~Wolfe, T.~19353
348~A man on the moon~Chaikin, Andrew~22380
349~A manager's guide to performance appraisal~Patten, Thomas, H. [Et.al]~22215
350~A managers guide to speaking and listening~Connelhy, J. C.~16755
351~A manual of earthquake resistant non-engineered construction~Indian Society of Earthquake Technology~4604
352~A matter of feeling (counselling)~LIC~24670
353~A meaningful search for happiness~Purnananda~6744
354~A modern introduction to ancient indian mathematics~Bhanu Murthy, T. S.~5351
355~A new approach to consequential loss insuranc~Hibbitt, Tony~1953
356~A new institutional approach to economic development~Kahkonen, Satu~11797
357~A new manual of classification~Marcella, R. [Et.al]~8765
358~A new world order~Ekins, Paul~12912
359~A nuclear strategy for India~Menon, R.~21188
360~A one day briefing liability 1988~Risk & Insurance Research Group Ltd~7059
361~A physical approach to the changing world of management~Managerial Challenge~4070
362~A plan of action~LIC~24648
363~A poorva chitraleni अ - प र व चित रल णी~Ranjankar, Yashwant~19606
364~A practical guide to behavioral research~Barbara, Sommer [Et.al]~19238
365~A practical guide to finite risk insurance and reinsurance~Monti, R.G. [Et.al]~16459
366~A practical guide to linux~Sobell, Mark G.~19562
367~A practical guide to tax deduction at source~Subramanian, N.~6439
368~A purple sea~Ambai~4438
369~A question of character~Reeves, T.C.~366
370~A quiver full of arrows~Archer, J.~6511
371~A ramble through the actuarial countryside ~Redington, Frank~21282
372~A report on children in traffic - the skandia report I~Skandia~15059
373~A review of sectoral research~Indian Institute of Management.~5736
374~A room with a view~Forster, E.M.~9363
375~A second chance at eden~Hamilton, P.F.~9615
376~A secret affair~Bradford, Barbara Taylor~9358
377~A self study text business accounting and financial analysis for non finance executives and businessmen~Xavier, G.F.~11618
378~A sense of mission~Cambell, A.~9527
379~A sense of security~Dennett, Laurie~7232
380~A siyer's indian tax laws~Raj Gopal~1719
381~A slow sort of country~Cherian, G.~12834
382~A step-by-step guide to starting an effective mentoring program [with dvd]~Cohen, Norman H.~19409
383~A stream of windows~Bhagwati, J.~9152
384~A study in business ethics~Raj, R.~14791
385~A study of damages by eqrthquake on oct 20, 1991 at Uttarkashi~Kulkarni, S.V.~3036
386~A study of industrial law~Kothari, G.M..~8855
387~A study of industrial lawvol 1 law relating to industrial disputes, trade unions, wages & workmen's compensation~Kothari, G.M.~14247
388~A study of labour 7 industrial laws~Khan, M.Y.~4266
389~A study of latur eqrthquake 1993~Kulkarni, S.V.~13663
390~A study of leadership behaviour in the general insurance industr~Balachandran, S. [Et.al]~19010
391~A study of major fire / exlposion losses 1987-1991~Kulkarni, S.V.~21366
392~A study on distribution functions in general insurance and the role of intermediaries~Agarwal, Arun~15704
393~A study on distribution functions in gic and the role of intermediaries~Agarwal, Arun~18076
394~A study on distribution system in lic~Doss, G.S.~1908
395~A study on investments of lic policy proceeds~Dandekar, V.J.~3876
396~A study on major fire/explosion losses (1985-1993)~Kulkarni, S.V.~9179
397~A study on major fire/explosion losses (1985-1993)~Kulkarni, S.V.~9180
398~A study on surrenders of life insurance policies by s c d'mello~Balachandran/~13606
399~A study on the evaluation of the performance of mutual funds in~Kale, Sumita [Et.al]~15528
400~A survey of health reform in central asia ( world bank )~Klugman, Jeni and Schieber, George~9956
401~A survey of the external debt situation in asian and pacific developing countries 1987-1988~Lee, J. [Et.al]~7868
402~A textbook of computer science~Kakar, Ajay M~11683
403~A textbook of secretarial practice~Bagrial, Ashok~11880
404~A theory of market strategy~Geruson, Richard J.~6152
405~A thousand acres~Smiley, Jane~21797
406~A thousand suns~Lapierre, D.~12031
407~A to z of practical building construction and its management~Mantri, Sandeep Ed.~17810
408~A touch of larseny~Larsen, Kent~7798
409~A transformative agenda for the indian insurance industry and its policy framework~Ansari H.~16506
410~A Vision of India: Nobel Laureates~Khandpur,Swarn~24436
411~A Vision of India: Profiles in Excellence~Khandpur,Swarn~23173
412~A Vision of India: The Country~Khandpur,Swarn~25119
413~A whack on the side of the head~Oech, Roger Vam~18712
414~A world waiting to be born~Scott Peck, M.~6674
415~A-z of international risk 1995-96~Holmes, S. Ed.~18620
416~A-z of sales management~Fenton, John.~17458
417~A)Computer and Operations Research (B)Computer Software~Margadarshan~23834
418~A)Lake maracaibo video (oil and gas),(B)Power project~~23977
419~A+ certification~Microsoft Corporation~14940
420~A+ Certification: training kit (with CD-ROM)~Microsoft Corporation~22472
421~Aa book of car~Drive Publication.~18670
422~Aabhal amha tokadeआभाळ आम हा त कड~Mahabal, Anil.~15992
423~Aabhal bharoon aalay आभाळ भरुन आलय~Keer, Girija.~695
424~Aabhalache anusthan आभाळाचं अनुष ठान~Pathak, Yashwant~18664
425~Aadhe safar ki puri kahani~Krushna Chandar.~8477
426~Aadhich pune gulajar आधीच पुण गुलजार~Natu, Vi.Na.~10653
427~Aadhunik bharatआधुनिक भारत~Javadekar, Shan.D.~21539
428~Aadhunik granthalayateel talikikaran (tatvik) आधुनिक ग रंथालयातील तालिकीकरन (तात त विक)~Lele, Vasanta Vi.~9784
429~Aadhunik marathi kavita kahi rupe kahi ranga आधुनिक मराठी कविता काही र प काही रंग~Kulkarni, G.M.~4376
430~Aadikalokh आदिकाळ ख~Dhuri, Gurunath~19337
431~Aadvatevarcha maharashtra आडवाट वरचा महाराष ट र~Ghanekar, Pra.Ke.~10938
432~Aadwalan आडवळण~Godbole, Mangala~3112
433~Aag ka niyantran (Hindi)~LPA of India~22474
434~Aagla veglaआगळ व गळ~Malshe, Sa. Gam.~2432
435~Aahar aani arogya आहार आणि आर ग य~Sardesai, Ha. Vi.~20613
436~Aahe he asa ahe आह ह असं आह~Deshpande, Gauri~19388
437~Aai tuzyach thayee ~Godabole, Mangala~3398
438~Aai आई~Gorky, Maxim~13566
439~Aai, aurkut ani metkut~Shevade, Shailaja~2219
440~Aaise kaise jhale bhondu buvabajicha samagra panchnama, rev new ऐस क स झाल भ ंद बुवाबाजीचा समग र पंचनामा (सुधारित नवी आव त ती)~Dabholkar, Narendra~7936
441~Aajachi badalti chalishi आजची बदलती चाळिशी~Joshi Lily~15705
442~Aajchi nayika आजची नायिका~Marathe, Ha. Mo.~12859
443~Aaji - aajoba aadhar ki adchan आजी-आज बा आधार की अडचण?~Mahabal, Bha. L.~2827
444~Aajichya potditalya goshti/आजीच्या पोतडीतल्या गोष्टी~Murty, Sudha~12948
445~Aakar janmakatha shilpanchi आकारजन मकथा - शिल पांची~Sathe, Sadashiv~6963
446~Aakara koti galan pani अकरा क टी ग यालन पाणी~Barve, Anil~11721
447~Aalekh आल ख~Desai, Ranjeet~7954
448~Aalisa ऑलिस~Nimbkar, Jai~4317
449~Aamachya ayushateel kahi athavani ~Ranade, Ramabai~10835
450~Aamhi dinka आम ही डिंका~Gosavi-Desai, Kalpana~19600
451~Aamhi poshtateel mansa आम ही प ष टातील माणसं~Menjoge, Sitaram~18336
452~Aanahki chimanrao आणखी चिमणराव~Joshi Chi Vi~19522
453~Aanandachi phula आनंदाची फुलं~Pinge, Ravindra.~9141
454~Aanandi gopal आनंदी ग पाळ~Joshi, Shri. Ja.~8877
455~Aanandi sharir aanandi man badaltya jeevanshaileela anusarun sharirachya va manachya swathyasathi आनंदी शरीर आनंदी मनबदलत या जीवनश लीला अनुसर न शरीराच या व मनाच या स वास थ यासाठी&~Joshi Lily~12702
456~Aandanआंद ण~Tupe, Uttam Bandu~21582
457~Aandhali (anu shanta shelake) आंधळी (अनु शांता श ळक )~Piyars, Katharin Owen.~15942
458~Aankhi thanathanapal आणखी ठणठणपाळ~Dalavi, Jayavant.~8638
459~Aao sajani yaad kare~~12186
460~Aapale vruksha आपल व क ष~Gandhi, Menaka~21321
