Title,Authors,ISBN10,ISBN13,Biblionumber,PublisherName
"1857 che svatantryasamar १८५७ च स वातंत र यसमर","Savarkara, Vi. Da.",,,3935,"Manorama Prakashan"
"The 1972 Annual Handbook for Group Facilitators","Pfeiffer, J.W. [Et.al]",,,2979,"Pfeiffer &"
"The 1979 Annual Handbook for Group Facilitators","Jones, J.E. [Et.al]",0787905275,9780787905279,15033,"Pfeiffer &"
"The 1977 Annual Handbook for Group Facilitators","Pfeiffer, J.W. [Et.al]",078790497X,9780787904975,10216,"Pfeiffer &"
"The 1977 Annual Handbook for Group Facilitators","Pfeiffer, J.W. [Et.al]",078790497X,9780787904975,20108,"Pfeiffer &"
"The 1979 Annual Handbook for Group Facilitators","Pfeiffer, J.W. Eds. [Et.al]",0787905275,9780787905279,20497,"Pfeiffer &"
"The 1978 Annual Handbook for Group Facilitators","Pfeiffer, J.W. [Et.al]",0787905119,9780787905118,20326,"Pfeiffer and"
"The 1979 Annual Handbook for Group Facilitators","Jones, J.E. [Et.al]",0787905275,9780787905279,21745,"Pfeiffer and"
"1983 annual","Pfeiffer, J.W. Ed.",,,2471,"University Associates"
"1984 annual","Pfeiffer, J.W. Ed.",,,5053,"University Associates"
"1984 member roster",Lirma,,,13153,
"The Annual, 1985","Pfeiffer, J.W. Ed.",0883900122,9780883900123,12500,"University Associates, Inc."
"1985 survey of actuarial assumptions and funding","Wyatt Company",,,20550,"Wyatt Company"
"1986 annual","Pfeiffer, J.W. Ed.",,,19794,"University Associates, Inc."
"The Annual, 1987","Pfeiffer, J.W. Ed.",0883900157,9780883900154,11943,Pfeiffer
"1988 annual","Pfeiffer, J.W. Ed.",,,10949,"University Associates"
"Annual 1989","Pfeiffer, J.W. Ed.",,,18782,"Univ. Associated"
"The Annual, 1990","Pfeiffer, J.W. Ed.",088390022X,9780883900222,10826,"University Associates"
"1990 conference papers","Insurance Institute of New Zealand",,,19404,
"1991 annual","Feiffer, J. William Ed.",,,21483,"Pfeiffer &"
"1991 life insurance fact book update",,,,17971,"American Council of Life Insurance"
"The Annual, 1992","Pfeiffer, J. William Ed.",0883903059,9780883903056,13878,"Pfeiffer &"
"Pfeiffer Annual Tabs for 1984 Through 1993","Pfeiffer, J. William",0787906484,9780787906481,1218,"Pfeiffer &"
"The Annual, 1994","Pfeiffer, J.W. Ed",0883904136,9780883904138,3460,"Pfeiffer &"
"The New Encyclopaedia Britannica","Encyclopedia Britanica",,,14243,"Encyclopedia Britannica"
"1994 britannica book of the year",,,,14244,"Encyclopadia Britannica"
"1994 life insurance tables","Munich Re",,,2953,
"1994 life insurance tables",,,,2954,"Stone & Cox"
"1994 life insurnce fact book","Amercian Councial of Life Insurance",,,7653,
"1995 annual","Pfeiffer, J.W. Ed",,,13936,Pfeiffer
"1995 annual","Pfeiffer, J.W.Ed.",,,13937,Pfeiffer
"1995 life insurance fact book update",Acli,,,19982,"Washington Dc"
"1996 annual","Pfeiffer, J.W. Ed.",,,21246,
"1996 annual","Pfeiffer, J.W. Ed.",,,21247,Pfeiffer
"1996 insurance buyer's guide to schemes, packages and unusual","Bryan, Ruth Ed.",,,116,Kluwer
"1996 life insurance fact book",Acli,,,923,Acli
"1998 McGraw-Hill Team and Organization Development Sourcebook","Silberman, M. Ed.",0070580014,9780070580015,9413,"Mcgraw Hill"
"1997 annual","Pfeiffer, J.W. Ed.",,,13245,Fleffer
"1st Asian Life insurance summit: 24-25 August 2006 at Taj President, Mumbai and 7th Asian conference on Bancassurance an","Asia Insurance Review",,,23658,"ASIA INSURANCE REVIEW"
"20 softwares you have been asking for [March 2003] CD-3","PC Quest",,,23851,
"20 year strategic outlook for the us life and health insurance","Nielson, Norma L. and Others",,,21402,"Univ.Southern California"
"20% solution","Colter, J.J.",,,17998,"J. Wiley"
"20,000 Leagues Under the Sea","Verne, Jules",1451685343,9781451685343,1527,"Octopus Books"
"Managing Corporate Culture","Davis. M. Standly",088730401X,9780887304019,10268,"Simon Schuster"
"2007 corporate responsibility report","Swiss Re",,,20416,"Swiss Reinsurance Company"
"2008 Pfeiffer annual: leadership development (with CD ROM)","Noel, James L.",,,24920,"JOHN WILEY AND SONS, INC."
"The 2008 Pfeiffer Annual","Preziosi, Robert C.",,,23560,"JOHN WILEY AND SONS, INC."
"20th annual report of the direcor general of insurance","Malaysia, Ministry of Finance",,,3029,"Ministry of Finance"
"The 21 Irrefutable Laws of Leadership","Maxwell, J.C.",0785288376,9780785288374,3176,"Magna Publishing"
"21st annual report april 1 1982 to march 31st 1983",IIM,,,6217,"Indian Institute of Management"
"21st century business technology for london insurance markets","IBC Uk Conf.Ltd.",,,16880,"IBC Uk"
"21st century office assistant's manual","Lichtenstein E. Ed.",,,14390,"Dell Publication"
"The 22 Immutable Laws of Marketing","Ries, Al. [Et.al]",1861976100,9781861976109,18116,"Harper-Collins Publication"
"22nd global conference of actuaries","Federation of Indian Chambers of Commerce and Actuarial Society",,,11548,"Federation of Indian Chambers of Commerce and Industry"
"Business Leadership","Shackleton, Viv",,,5271,Routledge
"25 years glorious journey of growth 1984-2008","Interlink Insurance & Reinsurance Brokers",,,4979,"Indian Insurance Industry"
"2nd global conference of actuaries, feb 24-25 2000","Actuarial Society of India",,,6564,"Actuarial Society of India"
"2nd global conference of actuaries, february 24-25 2000","Actuarial Society of India",,,10696,"Actuarial Society of India"
"Chicken Soup for the Soul: Miracles Happen","Canfield, J. [Et.al]",161159233X,9781611592337,11955,"Health Communications"
"3 Idiots: The Original Screenplay","Hirani, Rajkumar",9380070187,9789380070186,24250,"Futurastic Complete Media Ltd."
"3, 5000 good jokes for speaker's","Lieberman, G.F.",,,19850,
"30 practical exercises","Fenman Publication",,,17738,"Fenman Professional Training Resources"
"30 practical exercises: successful leadership","Fenman Publication",,,25734,"Fenman Professional Training Resources"
"31 languages of the world: CD-1 and CD- 2","Viva Infomedia",,,23411,"Viva Infomedia"
"31 National Management Convention Charting New Directions","Puri, Bharat",,,25401,"All India Management Association"
"32 haart beats ek hridayasparshi anubhav ३२ हार ट बीट स एक 'ह दयस पर शी' अनुभव","Velankar, Prakash",,,1366,"Manorama Prakashan"
"32nd annual report 1979","Oriental Fire and General Insurance Company Limited",,,15618,
"35 Checklists for Human Resource Management","Mackay, Ian",0566074338,9780566074332,19501,Gower
"35 years of industriral finance corporation of India",IFCI,,,7977,IFCI
"36 issues of digit now archived with search functionality [June 2004]",Digit,,,24473,
"The 386/486 PC","Fairhead, Harry",817029245X,9788170292456,7811,"BPB Publications"
"4th convocation of NIASOM 2009",NIA,,,23833,
"4th global conference of actuaries","Actuarial Society of India",,,4338,"Actuarial Society of India"
"4th global conference of actuaries","Actuarial Society of India",,,4339,"Actuarial Society of India"
"4th global conference of actuaries","Actuarial Society of India",,,4340,"Actuarial Society of India"
"4th global conference of actuaries (14-15 february, 2002-new delhi)","Actuarial Society of India",,,17812,"Actuarial Society of India"
"5 Minutes to opinion building techniques  (Disc 1)",V3,,,23912,"Intense Learning"
"5 must have(June 2001)","PC Quest",,,24307,
"5 Small linux systems [October 2003]","Linux For You",,,24206,
"50 strange mysteries of the sea","Canning, J.",,,12561,"Rupa and Publication"
"50 strategies for experimental learning","Thayer Louis.",,,5468,"University Associates"
"50 strategies for experimental learning book one","Thayer Louis",,,2994,"University Associates"
"50 years of central banking",RBI,,,20052,"Reserve Bank of India"
"5600 jokes for all ocasions","Meiers, M. [Et.al]",,,13323,"Wings Bokks"
"5th Global Conference of Actuaries, 19 & 20th February, 2003, Federation House, New Delhi","Actuarial Society of India",,,10398,"Actuarial Society of India"
"6 free CAD software [June 2002]","PC Quest",,,25717,
"6 Steps to Free Publicity and Dozens of Other Ways to Win Free Media Attention for You Or Your Business","Yudkin, M.",0452271924,9780452271920,1585,Plume
"6 XML tools [September 2002]","PC Quest",,,24249,
"Sixty Ways to Make Stress Work for You","Slaby, A. E.",1568380275,9781568380278,15134,"Bantom Books"
6404,,,,9655,
Report,"Industrial Reconstruction Bank",,,18535,
"6th national conference on pension, retirement planning and employee benefits","Assocham India",,,12278,"Associated Chambers of Commerce and Industry of India (Assocham)"
"7 CDs in one DVD [August 2003]","PC Quest",,,23773,
"7 large software [May 2003]","PC Quest",,,24813,
"7 Second Marketing","Misner, Ivan R.",1885167156,9781885167156,11617,"Bard Press"
"72 mail/72 मैल","Vhatkar, Ashok.",,,10723,"Popular Prakashan"
"79 80 Things You Must Do to be a Great Boss","Freemantle, David",0077090438,9780077090432,3815,"Mcgraw Hill"
"8085A Assembly Language","Awate, S.P.",0074515241,9780074515242,5068,"Tata Mcgraw Hill"
"9 Accounting packages [February 2002]","PC Quest",,,24399,"PC Quest"
"Idea Stormers","Mattimore, Bryan W.",1118238702,9781118238707,12780,Ama
"9th twic conference papers sep 26-29, 1994",,,,22315,
"A bittle bit better management ideas from my years with escorts","Batra, Promod.",,,2940,"Think Incorporated"
"A brief report of the proceedings of the special marine hull insurance","College of Insurance",,,18945,"College of Insurance"
"India at a Glance","Rao, P.R.",,,10517,"National Insurance Academy"
"A close look at loss reserving in general insurance corporation","Rao, P.R.",,,4640,"National Insurance Academy"
"A comparative study of accounting and reporting standards for insurance industry-an international approach","Soman, S.S.",,,19661,"National Insurance Academy"
"A Complaint is a Gift","Barlow, J [Et.al]",1881052818,9781881052814,4506,Berrett-Koehler
"A complete guide to successful entrepreneurship","Pandey, G.N.",,,20290,
"A Course of Mathematical Analysis","Shanti Narayan",8121904722,9788121904728,4562,"S.Chand & Company"
"A Criminal History of Mankind","Wilson, C.",1626818673,9781626818675,8916,"Grafton Books"
"Cry In The Night","Clark, M. H.",0731815815,9780731815814,20306,"Pocket Books"
"A date with your future a workbook on financial planning",,,,20708,"American Council of Life Insurance"
"Dictionary of Media and Communication Studies","Watson, James",184966563X,9781849665636,3797,"Universal Book Stall"
"A Dictionary of Dates","Beeching, C.L.",0192116932,9780192116932,21385,"Oxford University Press"
"A dictionary of twentieth century world biography",,,,4902,"Oxford University Press"
"A Guide to Information Technology","Syed, Shakil Ahmed",,,2343,"Capital Publishing House"
"A Guide to Insurance Accounting","Mccrindell, A.",0948691026,9780948691027,8186,"Buckley Press"
"A guide to international capital markets 1991","Crossman, R. [Et.al]",,,1562,Euromoney
"Information for Consumer Education","Consumer Education and Reserach Center",,,11065,Cerc
"A Guide to the Insurance of Professional Negligence Risks","Jess, Digby Charles",0406257108,9780406257109,11500,Butterworths
"A guide to transactional analysis","Clements, Ron.",,,16125,"Indo American Society"
"A Guide to Programming in BASIC PLUS","Presley, Bauce",0442273630,9780442273637,4315,"Lawereweville Press Inc."
"A Handbook of Management Techniques","Armstrong M",074943094X,9780749430948,7223,"Kogan Page"
"A Handbook of Structured Experiences for Human Relations Training","Pfeiffer I. William [Et.al]",999291971X,9789992919712,6487,"University Associates"
"A Handbook of Financial Mathematics","Cartledge, Peter C.",1870031741,9781870031745,7163,"Euromoney Books"
"A handbook on polution control by industries & government bodies with supreme court decision","Goswamy, Dilip",,,22305,"Emeon Business Review"
"A Handbook to Marine Insurance","Dover, Victor.",,,12706,Witherby
"A historical atlas of south asia","Schwartzberg, J.E.",,,9359,"Oxford University Press"
"A House for Mr Biswas","Naipaul, V.S.",1509803513,9781509803514,14822,Penguin
"A Life in Our Times","Galbraith, John Kenneth",0395305098,9780395305096,1513,"Haughton Mifflin"
"A Manager's Guide to Performance Appraisal","Patten, Thomas, H. [Et.al]",,,22215,"The Free Press"
"A managers guide to speaking and listening","Connelhy, J. C.",,,16755,"Taraporvala Sons &"
"Bulletin of the Indian Society of Earthquake Technology","Indian Society of Earthquake Technology",,,4604,"Indian Society of Earthquake Technology"
"A matter of feeling (counselling)",LIC,,,24670,
"A meaningful search for happiness",Purnananda,,,6744,Insol
"A new approach to consequential loss insuranc","Hibbitt, Tony",,,1953,"Chartered Insurance Institute"
"A new manual of classification","Marcella, R. [Et.al]",,,8765,
"A New World Order","Ekins, Paul",1134910878,9781134910878,12912,"Routledge Publication"
"A one day briefing liability 1988","Risk & Insurance Research Group Ltd",,,7059,"Rirg Ltd"
"A physical approach to the changing world of management","Managerial Challenge",,,4070,"New American Library, Inc."
"A plan of action",LIC,,,24648,
"A Night with a Black Spider",Ambai,9386582244,9789386582249,4438,"Manas Publication"
"A question of character","Reeves, T.C.",,,366,"Free Press"
"A report on children in traffic - the skandia report I",Skandia,,,15059,"Skandia Insurance"
"A Survey of Research in Management","Indian Institute of Management.",,,5736,"Indian Institute of Management"
"A Secret Affair","Bradford, Barbara Taylor",0007330812,9780007330812,9358,"Harper Collins"
"Napoleon at Fontainebleau and Elba, Being a Journal of Occurrences in 1814–15,","Cambell, A.",,,9527,"Pitman Publishing"
"A siyer's indian tax laws","Raj Gopal",,,1719,
"A Slow Sort of Country","Cherian, G.",,,12834,
"A study of damages by eqrthquake on oct 20, 1991 at Uttarkashi","Kulkarni, S.V.",,,3036,NIA
"A Study of Industrial Law","Kothari, G.M..",,,8855,N.M.Tripathi
"A study of industrial lawvol 1 law relating to industrial disputes, trade unions, wages & workmen's compensation","Kothari, G.M.",,,14247,"N.M. Tripathy"
"Labour Management In Indian Industry","Khan, M.Y.",8170412951,9788170412953,4266,"Metropolitan Publication"
"A study of latur eqrthquake 1993","Kulkarni, S.V.",,,13663,NIA
"A study of leadership behaviour in the general insurance industr","Balachandran, S. [Et.al]",,,19010,"National Insurance Academy"
"A study of major fire / exlposion losses 1987-1991","Kulkarni, S.V.",,,21366,NIA
"A study on distribution functions in general insurance and the role of intermediaries","Agarwal, Arun",,,15704,"National Insurance Academy"
"A study on distribution functions in gic and the role of intermediaries","Agarwal, Arun",,,18076,
"A study on distribution system in lic","Doss, G.S.",,,1908,
"A study on investments of lic policy proceeds","Dandekar, V.J.",,,3876,
"A study on major fire/explosion losses (1985-1993)","Kulkarni, S.V.",,,9179,"National Insurance Academy"
"A study on major fire/explosion losses (1985-1993)","Kulkarni, S.V.",,,9180,NIA
"A study on surrenders of life insurance policies by s c d'mello",Balachandran/,,,13606,"National Insurance Academy"
"A study on the evaluation of the performance of mutual funds in","Kale, Sumita [Et.al]",,,15528,
"A Survey of the External Debt Situation in Asian and Pacific Developing Countries, 1987-1988","Lee, J. [Et.al]",,,7868,Adb
"A textbook of computer science","Kakar, Ajay M",,,11683,"Himalaya Publishing House."
"A Theory of Market Strategy","Geruson, Richard J.",,,6152,"Oxford University Press"
"A Thousand Acres","Smiley, Jane",0804115761,9780804115766,21797,Flamingo
"A to z of practical building construction and its management","Mantri, Sandeep Ed.",,,17810,"Mantri Institute of Devp."
"A transformative agenda for the indian insurance industry and its policy framework","Ansari H.",,,16506,
"A Whack on the Side of the Head","Oech, Roger Vam",,,18712,Indus
"Smart Risk","Holmes, S. Ed.",1841126187,9781841126180,18620,"Reactions Publication"
"The A-Z of Sales Management","Fenton, John.",0330263234,9780330263238,17458,Pan-Business/Sales
"A)Computer and Operations Research (B)Computer Software",Margadarshan,,,23834,
"A)Lake maracaibo video (oil and gas),(B)Power project",,,,23977,
"A+ Certification","Microsoft Corporation",0735615411,9780735615410,22472,"Prentice-Hall of India Private Limited"
"AA Book of the Car","Drive Publication.",0393087743,9780393087741,18670,"Drive Publication."
"Aabhalache anusthan आभाळाचं अनुष ठान","Pathak, Yashwant",,,18664,"Granthali Prakashan"
"Aadhe safar ki puri kahani","Krushna Chandar.",,,8477,"Rajpal and Sanj"
"Aadhunik granthalayateel talikikaran (tatvik) आधुनिक ग रंथालयातील तालिकीकरन (तात त विक)","Lele, Vasanta Vi.",,,9784,Universal
"Aadikalokh आदिकाळ ख","Dhuri, Gurunath",,,19337,Majestic
"Aadvatevarcha maharashtra आडवाट वरचा महाराष ट र","Ghanekar, Pra.Ke.",,,10938,"Snehal Prakashan"
"Aadwalan आडवळण","Godbole, Mangala",,,3112,"Asmita Prakashan"
"Aag ka niyantran (Hindi)","LPA of India",,,22474,
"Aagla veglaआगळ व गळ","Malshe, Sa. Gam.",,,2432,"Suparna Prakashan"
"Aahar aani arogya आहार आणि आर ग य","Sardesai, Ha. Vi.",,,20613,"India Printing Works"
"Aahe he asa ahe आह ह असं आह","Deshpande, Gauri",,,19388,Mauj
"Aai आई","Gorky, Maxim",,,13566,Lokvaghamaya
"Aajachi badalti chalishi आजची बदलती चाळिशी","Joshi Lily",,,15705,"Padmagandha Prakashan"
"Aajchi nayika आजची नायिका","Marathe, Ha. Mo.",,,12859,"Navchaitanya Prakashan"
"Aaji - aajoba aadhar ki adchan आजी-आज बा आधार की अडचण?","Mahabal, Bha. L.",,,2827,"Rohan Prakashan"
"Aakara koti galan pani अकरा क टी ग यालन पाणी","Barve, Anil",,,11721,"Majestic Prakashan"
"Aalekh आल ख","Desai, Ranjeet",,,7954,Deshmukh
"Aalisa ऑलिस","Nimbkar, Jai",,,4317,"Deshmukh andPublishers"
"Aamachya ayushateel kahi athavani","Ranade, Ramabai",,,10835,"Varada Prakshan"
"Aamhi dinka आम ही डिंका","Gosavi-Desai, Kalpana",,,19600,Shrividya
"Aamhi poshtateel mansa आम ही प ष टातील माणसं","Menjoge, Sitaram",,,18336,"Dimpal Publication"
"Aanahki chimanrao आणखी चिमणराव","Joshi Chi Vi",,,19522,"Deshmukh Publication"
"Aanandachi phula आनंदाची फुलं","Pinge, Ravindra.",,,9141,"Utkarsh Prakashan"
"Aanandi gopal आनंदी ग पाळ","Joshi, Shri. Ja.",,,8877,"Majestic Prakashan"
"Aandanआंद ण","Tupe, Uttam Bandu",,,21582,"Chandrakala Prakashan"
"Aankhi thanathanapal आणखी ठणठणपाळ","Dalavi, Jayavant.",,,8638,Majestic
"Aao sajani yaad kare",,,,12186,"Citizen Printers"
"Aapale vruksha आपल व क ष","Gandhi, Menaka",,,21321,"Amey Publication"
"Aaparichitanchya krantikatha अपरिचितांच या क रांतिकथा","Godse, Gopal",,,924,Raviraj
"Aapla police आपला प लीस","Soman, D. S. [Et.al]",,,6732,Rajahans
Aapta,"Aavchat, Anil.",,,13348,Mauj
"Aapulaki आपुलकी","Deshpande, Pu. La.",,,8175,Mauj
"Aaranyak ani koham आरण यक आणि क sहम","Londhe, Lakshman",,,18113,Prabhat
"Aarasa आरसा","Joshi, C. V.",,,8700,"Continental Prakshan"
"Aarsa आरसा&","Kakade, Aasavari.",,,8038,"Setu Prakashan"
"Aarthik navalkatha आर थिक नवलकथा","Gadgil, Gangadhar",,,13917,Suparna
"Aarya आर य","Patavardhan, Vasanta",,,8028,"Utkarsha Prakashan"
"Aasa ghadala sachin असा घडला सचिन","Tendulkar, Ajit",,,11796,"Akshar Prakashan"
"Aasamant nisargnirikshananvar adharit lekhancha sanghraha आसमंतनिसर ग निरीक षणांवर आधारित ल खांचा संग रह","Ingalhalikar, Srikant",,,17996,"Karola Publications"
"Aashak masta phakir आशक मस त फकीर","Dev, Vina.",,,19106,"Majestic Prakashan"
"Aathwanitlya kavita 1 आठवणीतल या कविताभाग(१)","Mahajan, Padmakar",,,14726,Aathwan
"Aathwanitlya kavita 2 आठवणीतल या कविताभाग (२)","Mahajan, Padmakar",,,741,Aathwan
"Aathwanitlya kavita 3 आठवणीतल या कविताभाग(३)","Mahajan, Padmakar",,,8540,"Adhyaksha, Aathvan"
"Aathwanitlya kavita bhag 4 आठवणीतल या कविताभाग(४)","Mahajan, Padmakar",,,14929,Aathwan
"Aavadalele ramesh mantri आवडल ल रम श मंत री","Gadgil, Bal [Sampa]",,,14913,Suresh
"Aavadleli manase आवडल ली माणस","Pundalik, Vidyadhar",,,19384,"Suparna Prakashan"
"Aavishkar आविष कार","Pargaokar, Vi. Sham.",,,6178,"Pratima Prakashan"
"The Weave of My Life","Pawar, Urmila",0231520573,9780231520577,449,"Granthali Prakshan"
"Aayushyachi valan ani valnavarch ayushya आयुष्याची वळणं आणि वळणावरच आयुष्य","Kulkarni, Ramesh",,,34158,"Granthali Prakashan"
"Abc Of Research","Nalwa, Vanit",8122404286,9788122404289,7290,"Wiley Estern"
"Abc's of 1-2-3","Gilbert C.",,,14882,
"The ABC's of 1-2-3 Release 3","Robbins, Judd",,,17699,"Galgotia Publication"
"The ABC's of AutoCAD Release 12","Miller, A.R.",078211038X,9780782110388,19475,"BPB Publ"
"The ABC's of Local Area Networks","Dortch, Michael.",0895886642,9780895886644,6591,"BPB Pubklications"
"ABC's of the Human Mind","Reader's Digest",0895773457,9780895773456,12762,
"The ABC's of the IBM PC and Compatibles","Lasselle, Joan",9813091991,9789813091993,22307,
"The ABC's of Windows 3.1","Neibauer, Alan R.",981214336X,9789812143365,16503,"BPB Publications"
"Abdus Salam, a Biography","Singh, Jagjit",,,14990,"Penguin Books"
"Abeera gulal अबीर गुलाल","Karnik, Madhu Mangesh",,,15133,"Magestic Prakashan"
"Abhalgondan आभाळग ंदण","Joshi, D.V.",,,6782,"Prapancha Prakashan"
"Abhayam sarvada (Hindi)","LIC MF",,,25634,
Abhigyan,"Bandyopadhyay, Nirmalya",,,33900,"Foundation for Organizational Research and Education"
"Abhijat satyajit rai yanchi chitrasampada, translated by sudhir nandgaonkar अभिजातसत यजित राय यांची चित रसंपदा अनुवाद- सुधीर नांदगावकर","Dasgupta, C.",,,16501,Granthali
"Abhinay अभिनय","Nadkarni, Dnyaneshvar.",,,14002,"Shri Vidya Prakashan"
"Abhinaysamradni minakumari अभिनयसम राज ञी मीनाकुमारी","Jog, V.S.",,,16521,"Lakhe Prakashan"
"Abhisarika अभिसारिका","Vadgabalkar, shrutishri",,,34168,Swarupdip
"Abhogi अभ गी","Desai, Ranajit.",,,18682,Mehta
"Abnormal Psychology and Modern Life","Carson, R.C. [Et.al]",,,22036,"Harper Collins"
"About Library",NIA,,,23685,"National Insurance Academy"
"Abridged tariff guide for general insurance agents","General Insurance Ready Reckoner",,,9499,"United India Insurance Company"
"Absalom, Absalom!","Faulkner, W.",,,18826,"Penguin Books"
Absenteeism,"Shetty, P.N.",,,20268,"Consultants In Organization Development"
"Acapulco 15-20 november, november -december 1981 papers","Hemisferic Insurance [Et.al]",,,22254,"Hemisferic Ins. Conference"
"Acc no 5814 cancelled (gic report 1991 bound )","General Insurance Corporation of India",,,13843,
"Acceptable Risk","Cook, Robin",1447246578,9781447246572,14420,"Pan Books"
"Access 2000 For Windows For Dummies","Kaufeld, J.",0764504444,9780764504440,8548,"IDG Books India"
"Access for windows 95 (with disk)","Siegel, Charles",,,5029,"BPB Publication"
"Access 2002 in Easy Steps","Copestake, S.",1840781432,9781840781434,14440,"Comdex Computer Publishing"
"Access to healthcare","Assocham India",,,15553,"Associated Chambers of Commerce and Industry of India (Assocham)"
"Accessing and Analyzing Data with Microsoft Excel","Cornell, Paul",073561895X,9780735618954,24203,"Prentice-Hall of India Private Limited"
Accident,"Steel, Danielle",1409091686,9781409091684,15101,
"Accident analysis",CIRT,,,6165,"Central Institute For Road Transport"
"Accident Analysis and Risk Control","Viner, Derek",,,11227,"Sonali Publication"
"Accident claims digest 1991-1995","Gujrathi, B.K.Das",,,7997,"Sodhi Publications"
"Accident claims digest 1992-2002","Sarin, M.L.",,,1825,"Vinod Publications"
"Accidental deaths and sucides in India 1999","Prasad, Sharda",,,16201,"National Crime Records Bureau Ministry of Home Affairs"
"Accidents and compensation laws","Kannan, K.",,,13431,"Wadhwa and Company"
"Accidents claims journal",,,,33891,ACJ
Accountancy,"Bapat, R.G.",,,19590,"Tata Mc-Graw Hill"
Accountancy,"Brain Singleton-Green",,,33694,"Institute of Chartered Accountants in England and Wales"
Accountancy,"Brain Singleton-Green",,,33695,"Institute of Chartered Accountants in England and Wales"
"Accountancy’s Faulty Sums","Bhattacharya, Keron",1349128872,9781349128877,17857,"Macmillan Press"
"Financial Accounting","Horngren, Charles",1442553480,9781442553484,18422,"Prentice Hall"
Accounting,"Eve, John",0273012606,9780273012603,18423,"Oxford University Press"
"Accounting, the Basis for Business Decisions","Meigs, R.F. [Et.al]",,,18424,"Mcgraw Hill"
"Accounting analysis of the efficiency of public enterprises",Icpe,,,21886,Icpe
"Accounting and management accounting (fi-95)",FII,,,12435,"Federation of Insurance Institutes"
"An Introduction to Statistical Methods, 23rd Edition","Gupta, S.",8125916547,9788125916543,16207,"Pointer Publishers"
"Accounting control","Sudarshan, R",,,14409,"Printwell Publisher"
"Accounting standards",FASB,0070209413,9780070209411,9771,FASB
"Accounting Information Systems","Robinson, Leonard A. [Et.al]",0471615609,9780471615606,3051,"Harper and Row Pub."
"Accounting Information Systems and Business Organizations","Cushing, B.",,,3052,Addison-Wesley
"Accounting practices for investment mgt in banks",Chawla,,,1023,"K D Unrootkar"
"Accounting principles and policies and formats for financial statements","New Delhi",,,19846,"Institute of Chartered Account"
"Accounts and taxation","Caldicott, I.R.",,,11658,"Institute of Actuaries"
"Shaping the Future","Maira, Arun [Et.al]",0471479195,9780471479192,3406,"Mcgraw Hill"
